"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show"
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AI,AI,11,St. Johann,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AI,AI,2,Vorstädte,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AI,AI,14,Wettstein,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,1,Altstadt Grossbasel,0,1,0,0,0,0,0,1,0,1,0,0,4,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,12,Altstadt Kleinbasel,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,3,Am Ring,5,3,3,2,1,3,4,1,2,1,5,2,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,8,Bachletten,0,1,2,0,0,0,3,0,1,0,1,3,2,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,30,Bettingen,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,4,Breite,1,2,6,0,1,2,0,0,2,1,1,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,7,Bruderholz,1,2,0,4,0,0,1,0,0,0,0,2,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,13,Clara,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,9,Gotthelf,2,0,1,1,1,1,0,2,1,1,0,1,0,1,1
100,Übrige Schweiz,12,Basel-Stadt,4087,4235,4260,4577,4214,4296,4455,4286,4206,3865,4242,4536,4036,AR,AR,6,Gundeldingen,7,0,3,5,1,0,3,0,1,1,2,5,2,1,1
