"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show","regionflow_2018","regionflow_2019","countryflow_2018","countryflow_2019"
1,1 - Altstadt Grossbasel,3,3 - Am Ring,31,23,21,58,22,31,26,33,12,Geschäftsviertel,31,St. Johann,1,1,2,2,5,3,0,0,1,1,29,38,0,0
1,1 - Altstadt Grossbasel,3,3 - Am Ring,31,23,21,58,22,31,26,33,12,Geschäftsviertel,32,Spalen,0,0,0,3,1,1,1,0,1,1,29,38,1,3
1,1 - Altstadt Grossbasel,3,3 - Am Ring,31,23,21,58,22,31,26,33,12,Geschäftsviertel,33,Steinen,4,0,0,5,2,0,3,2,1,1,29,38,0,5
1,1 - Altstadt Grossbasel,3,3 - Am Ring,31,23,21,58,22,31,26,33,12,Geschäftsviertel,34,Markthalle,0,0,0,0,0,0,1,0,1,1,29,38,0,0
1,1 - Altstadt Grossbasel,4,4 - Breite,9,1,7,12,9,6,9,3,12,Geschäftsviertel,41,Züricherstrasse,1,0,0,1,3,1,0,0,1,1,9,10,0,0
1,1 - Altstadt Grossbasel,4,4 - Breite,9,1,7,12,9,6,9,3,12,Geschäftsviertel,42,Lehenmatte,1,0,0,1,1,0,2,0,1,1,9,10,0,0
1,1 - Altstadt Grossbasel,5,5 - St. Alban,23,6,13,12,13,13,17,11,12,Geschäftsviertel,51,Heumatt,0,0,0,0,0,0,0,0,1,1,10,9,0,0
1,1 - Altstadt Grossbasel,5,5 - St. Alban,23,6,13,12,13,13,17,11,12,Geschäftsviertel,52,Peter Merian,3,0,0,0,1,0,0,0,1,1,10,9,0,0
1,1 - Altstadt Grossbasel,5,5 - St. Alban,23,6,13,12,13,13,17,11,12,Geschäftsviertel,53,Luftmatt,1,3,0,3,3,3,3,0,1,1,10,9,3,1
1,1 - Altstadt Grossbasel,5,5 - St. Alban,23,6,13,12,13,13,17,11,12,Geschäftsviertel,54,Gellert,1,0,0,1,0,1,2,0,1,1,10,9,1,1
